customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureBucket,FamilyIndicator,SupportBundle,StreamingBundle,Treatment_Prob,Treatment,TreatmentEffect,BaseProb,TreatedProb,Y0,Y1,Outcome,uplift_pred,segment
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,4-6 Years,1,4,0,0.7,0,0.37,0.3,0.01,0,1,0,0.22963490184298618,Persuadable
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0-1 Year,1,1,2,0.8999999999999999,1,0.47,0.6000000000000001,0.1300000000000001,1,1,1,0.29491755019859145,Persuadable
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,2-4 Years,1,4,0,0.3,0,0.1,0.15,0.0499999999999999,1,1,1,0.10712808339733573,Sleeping Dogs
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0-1 Year,0,0,0,0.5,1,0.2,0.35,0.1499999999999999,0,1,1,0.1842265564204808,Sleeping Dogs
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0-1 Year,0,0,0,0.7,0,0.35,0.45,0.1,0,1,0,0.2691186597771674,Persuadable
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,4-6 Years,1,3,1,0.5,0,0.22,0.1999999999999999,0.01,1,1,1,0.17988270026368136,Sleeping Dogs
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0-1 Year,0,0,0,0.5,1,0.2,0.35,0.1499999999999999,1,1,1,0.2410163681091806,Persuadable
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,2-4 Years,0,1,0,0.3,0,0.1,0.2499999999999999,0.1499999999999999,1,0,1,0.12114936727916689,Sleeping Dogs
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,2-4 Years,0,2,2,0.5,0,0.22,0.5,0.28,1,1,1,0.20945161369533233,Persuadable
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,0-1 Year,0,1,2,0.7,0,0.32,0.5,0.18,1,1,1,0.2432833335490821,Persuadable
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,0-1 Year,1,1,0,0.5,0,0.2,0.15,0.01,0,1,0,0.21041877352074856,Persuadable
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,4-6 Years,1,2,1,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.04296974520695037,Sleeping Dogs
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,1-2 Years,1,0,0,0.3,0,0.2,0.15,0.01,1,1,1,0.15809843840020843,Sleeping Dogs
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,4-6 Years,0,4,1,0.3,1,0.1,0.0499999999999999,0.01,1,1,1,0.06474259332156067,Sleeping Dogs
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,1-2 Years,1,3,1,0.3,0,0.2,0.35,0.1499999999999999,0,1,0,0.26315888800712983,Persuadable
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,4-6 Years,0,0,1,0.5,1,0.22,0.4,0.18,1,1,1,0.22356329323052693,Persuadable
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0-1 Year,0,1,0,0.5,1,0.2,0.35,0.1499999999999999,1,1,1,0.16878812933137624,Sleeping Dogs
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,0-1 Year,0,0,1,0.7,0,0.32,0.5,0.18,0,1,0,0.2801865698734668,Persuadable
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,4-6 Years,0,2,2,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.08502060616098682,Sleeping Dogs
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,4-6 Years,1,3,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.0581435012920098,Sleeping Dogs
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,2-4 Years,0,1,1,0.7,1,0.37,0.5000000000000001,0.1300000000000001,0,1,1,0.24709674992222908,Persuadable
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,1-2 Years,0,2,2,0.5,0,0.32,0.5,0.18,0,0,0,0.24981088063486706,Persuadable
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,2-4 Years,1,2,1,0.5,1,0.25,0.45,0.2,1,0,0,0.17252958301933605,Sleeping Dogs
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,0-1 Year,1,1,0,0.8999999999999999,1,0.47,0.6000000000000001,0.1300000000000001,1,1,1,0.3124160939272427,Persuadable
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,4-6 Years,1,4,1,0.5,1,0.25,0.15,0.01,1,1,1,0.12259660711641882,Sleeping Dogs
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,1-2 Years,0,0,2,0.7,1,0.47,0.6000000000000001,0.1300000000000001,1,0,0,0.1865846132179087,Sleeping Dogs
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,4-6 Years,1,1,2,0.5,0,0.22,0.1999999999999999,0.01,1,1,1,0.16059058759130712,Sleeping Dogs
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,4-6 Years,1,3,2,0.7,1,0.37,0.3,0.01,1,1,1,0.23173802345678918,Persuadable
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,2-4 Years,1,0,0,0.3,1,0.1,0.15,0.0499999999999999,1,1,1,0.10038154634892343,Sleeping Dogs
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,4-6 Years,0,2,2,0.5,1,0.22,0.1999999999999999,0.01,1,1,1,0.24672858704142953,Persuadable
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,2-4 Years,1,1,2,0.5,1,0.22,0.4,0.18,1,1,1,0.22554046040768447,Persuadable
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,4-6 Years,0,1,1,0.5,0,0.22,0.4,0.18,1,1,1,0.15573777448691495,Sleeping Dogs
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,4-6 Years,1,3,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.05048635469488843,Sleeping Dogs
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,1-2 Years,1,2,0,0.3,0,0.2,0.15,0.01,1,1,1,0.14385355186684667,Sleeping Dogs
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,0-1 Year,0,0,2,0.7,0,0.32,0.5,0.18,1,1,1,0.24107854502936135,Persuadable
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0-1 Year,0,2,2,0.5,0,0.2,0.35,0.1499999999999999,0,1,0,0.21774136866396532,Persuadable
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,2-4 Years,1,1,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.13528723507387413,Sleeping Dogs
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,2-4 Years,0,3,2,0.3,0,0.1,0.15,0.0499999999999999,1,1,1,0.0977591838573726,Sleeping Dogs
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,4-6 Years,1,0,0,0.3,1,0.1,0.0499999999999999,0.01,1,1,1,0.06259603793554494,Sleeping Dogs
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0-1 Year,0,2,0,0.5,1,0.2,0.35,0.1499999999999999,1,1,1,0.21405110198750182,Persuadable
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0-1 Year,0,1,0,0.5,0,0.2,0.35,0.1499999999999999,1,1,1,0.18919160898746862,Sleeping Dogs
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,4-6 Years,1,0,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.09116444782827696,Sleeping Dogs
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,4-6 Years,1,3,2,0.7,1,0.37,0.3,0.01,1,1,1,0.22508229603874802,Persuadable
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,4-6 Years,1,0,0,0.3,1,0.1,0.0499999999999999,0.01,1,1,1,0.054323321576472,Sleeping Dogs
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0-1 Year,1,2,1,0.5,1,0.2,0.35,0.1499999999999999,0,0,0,0.16875887752254737,Sleeping Dogs
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,4-6 Years,0,3,2,0.7,0,0.37,0.3,0.01,0,1,0,0.27219046947072534,Persuadable
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,2-4 Years,0,0,1,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.07671930148781311,Sleeping Dogs
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,0-1 Year,1,2,0,0.5,1,0.2,0.35,0.1499999999999999,0,1,1,0.18971742191017155,Sleeping Dogs
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,2-4 Years,0,2,2,0.5,1,0.25,0.45,0.2,0,0,0,0.19098562788768028,Sleeping Dogs
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,2-4 Years,1,0,0,0.3,1,0.1,0.0499999999999999,0.01,1,1,1,0.07067848472285707,Sleeping Dogs
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,0-1 Year,1,0,1,0.5,0,0.2,0.35,0.1499999999999999,1,1,1,0.27021033237148906,Persuadable
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,0-1 Year,1,1,2,0.5,1,0.2,0.35,0.1499999999999999,0,1,1,0.20014390797011156,Persuadable
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,0-1 Year,1,1,0,0.5,1,0.2,0.35,0.1499999999999999,1,1,1,0.2219002890861111,Persuadable
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,2-4 Years,0,3,2,0.5,0,0.22,0.4,0.18,0,0,0,0.21902899149241117,Persuadable
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,4-6 Years,1,0,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.0596137525158283,Sleeping Dogs
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0-1 Year,0,1,2,0.7,1,0.32,0.5,0.18,0,1,1,0.23950844367835006,Persuadable
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,2-4 Years,1,1,1,0.3,0,0.1,0.15,0.0499999999999999,1,1,1,0.08608896099547528,Sleeping Dogs
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,2-4 Years,1,0,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.07254999540784234,Sleeping Dogs
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,2-4 Years,1,0,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.07105478626894908,Sleeping Dogs
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,2-4 Years,1,0,1,0.3,1,0.1,0.35,0.2499999999999999,0,0,0,0.10536651220261997,Sleeping Dogs
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,2-4 Years,1,2,0,0.5,0,0.22,0.5,0.28,1,1,1,0.1895412597237994,Sleeping Dogs
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0-1 Year,0,1,0,0.7,1,0.35,0.45,0.1,1,1,1,0.2888284924604788,Persuadable
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,4-6 Years,1,3,2,0.5,0,0.22,0.1999999999999999,0.01,1,1,1,0.16460176669317944,Sleeping Dogs
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,4-6 Years,0,3,2,0.5,1,0.22,0.4,0.18,1,1,1,0.18590350953061785,Sleeping Dogs
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,4-6 Years,0,2,2,0.5,1,0.22,0.1999999999999999,0.01,1,1,1,0.2033058842726074,Persuadable
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,0-1 Year,0,1,0,0.3,0,0.2,0.35,0.1499999999999999,1,0,1,0.27143247806169196,Persuadable
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,4-6 Years,1,3,0,0.3,0,0.1,0.0499999999999999,0.01,1,1,1,0.05585416442323385,Sleeping Dogs
